0,69.43
10,69.35
20,69.85
30,69.36
40,54.69
50,37.35
60,37.24
70,37.52
80,37.55
90,37.84
100,37.23
110,37.52
120,37.61
130,37.61
140,37.62
150,37.85
160,37.16
170,37.62
180,37.84
190,37.62
200,37.62
210,37.62
220,37.61
230,37.74
240,37.74
250,37.26
260,37.83
270,37.26
280,37.36
290,37.14
300,52.16
310,68.52
320,69.25
330,69.83
340,69.26
350,69.84
360,69.14
370,69.74
380,69.85
390,69.13
400,69.37
410,69.96
420,69.23
430,69.52
440,69.54
450,69.63
460,69.74
470,69.26
480,69.53
490,69.25
500,69.74
510,69.24
520,69.64
530,69.35
540,69.96
550,69.35
560,69.96
570,69.35
580,69.74
590,69.31
600,69.13
610,69.42
